sample_id	position	token	token_id	cos_sim	is_hard
0	0	###	3757	0.9883	False
0	1	 Instruction	20880	0.9492	False
0	2	:	42	0.9502	False
0	3	\n	198	0.9492	False
0	4	What	1780	0.9634	False
0	5	 would	736	0.9609	False
0	6	 be	325	0.9722	False
0	7	 the	260	0.9692	False
0	8	 best	1450	0.9639	False
0	9	 type	1502	0.9561	False
0	10	 of	282	0.9609	False
0	11	 exercise	3388	0.9502	False
0	12	 for	327	0.9502	False
0	13	 a	253	0.9531	False
0	14	 person	1055	0.9551	False
0	15	 who	617	0.9346	False
0	16	 has	553	0.9453	False
0	17	 arthritis	11063	0.9502	False
0	18	?	47	0.9512	False
0	19	\n	198	0.9473	False
0	20	\n	198	0.9492	False
0	21	###	3757	0.9531	False
0	22	 Response	14212	0.9395	False
0	23	:	42	0.9492	False
0	24	\n	198	0.9531	False
0	25	For	2193	0.957	False
0	26	 someone	2206	0.9556	False
0	27	 with	351	0.9502	False
0	28	 arthritis	11063	0.9541	False
0	29	,	28	0.9434	False
0	30	 the	260	0.9614	False
0	31	 best	1450	0.9697	False
0	32	 type	1502	0.9541	False
0	33	 of	282	0.9619	False
0	34	 exercise	3388	0.958	False
0	35	 would	736	0.9531	False
0	36	 be	325	0.9272	True
0	37	 low	1642	0.9189	True
0	38	-	29	0.8926	True
0	39	impact	27129	0.9351	False
0	40	 activities	2123	0.9546	False
0	41	 like	702	0.9033	True
0	42	 yoga	12039	0.9521	False
0	43	,	28	0.8862	True
0	44	 swimming	10693	0.9463	False
0	45	,	28	0.8916	True
0	46	 or	355	0.8818	True
0	47	 walking	6139	0.9336	True
0	48	.	30	0.9541	False
0	49	 These	1216	0.9482	False
0	50	 exercises	6379	0.9414	False
0	51	 provide	1538	0.9395	False
0	52	 the	260	0.9463	False
0	53	 benefits	2624	0.9541	False
0	54	 of	282	0.9453	False
0	55	 exercise	3388	0.9507	False
0	56	 without	1355	0.9268	True
0	57	 exacerbating	34044	0.9482	False
0	58	 the	260	0.9468	False
0	59	 symptoms	2336	0.9619	False
0	60	 of	282	0.9473	False
0	61	 arthritis	11063	0.958	False
0	62	.	30	0.9551	False
0	63	<|im_end|>	2	0.9141	True
0	64	###	3757	0.9438	False
